plugin,kind,name,source_path,source_sha256,lines,codex_projected_name,codex_discovery_0_154_0,strict_yaml,portability_flags_heuristic,declared_tools,referenced_capabilities_heuristic,existing_relative_links
design,agent,motion-critic,plugins/design/agents/motion-critic.md,81438443219c6be3bfe1747003f77b3d2c25214418ec20dd61da7966ea39608c,191,,not-installed-by-bridge,valid,agent_orchestration; maude_cli,"Read, Write, Bash, Glob, Grep",design:critic; design:setup-ds,
design,agent,reconstruct-agent,plugins/design/agents/reconstruct-agent.md,ed4014f36d90c2da38b5e7dd47439b0d368b48e118efb48c095095817750843c,117,,not-installed-by-bridge,valid,claude_paths; agent_orchestration,"Read, Write, Glob, Grep",design:import,../../../.ai/archive/decisions/DDR-174-vision-reconstruction-trust-boundary-and-experimental-posture.md
design,agent,reconstruct-critic,plugins/design/agents/reconstruct-critic.md,3e3e7820f7e05d8af92941b2b5c476a47306683831a466787d428a9d3d1eca54,77,,not-installed-by-bridge,valid,,"Read, Write, Glob, Grep",design:import,../../../.ai/archive/decisions/DDR-174-vision-reconstruction-trust-boundary-and-experimental-posture.md
design,agent,signature-moment-critic,plugins/design/agents/signature-moment-critic.md,c1b818c9d36ced8d7aed592bdb11fa79a6140288b42297299da134b2a1d58183,346,,not-installed-by-bridge,valid,agent_orchestration; maude_cli,"Read, Write, Bash, Glob, Grep",design:critic; design:edit; design:new,
design,agent,typography-critic,plugins/design/agents/typography-critic.md,75f879c5131df0699cf77170bec590685e0e20dd31da6a2645f2ba4493e59320,183,,not-installed-by-bridge,valid,,"Read, Write, Bash, Glob, Grep",design:critic,
design,agent,ux-research-agent,plugins/design/agents/ux-research-agent.md,f7fe6ded20f4d3210a1a7032816a18c7228e50d62e4648485911fcc29dd00610,516,,not-installed-by-bridge,valid,claude_paths; agent_orchestration; arguments; external_expertise; maude_cli,"Read, Write, Bash, Glob, Grep, WebSearch, WebFetch",design:new; design:setup-ds; flow:debate-protocol; flow:investigator,
flow,command,bug-fix,plugins/flow/commands/bug-fix.md,4615d38746bf8501e445e92d055c008370cefe905d1c0eff795f40c62e369244,126,flow:source-command-bug-fix,discovered,valid,arguments; kgai,,flow:bug-rca; flow:done; flow:quality-gates; flow:utils-verify; flow:validate,
flow,command,bug-rca,plugins/flow/commands/bug-rca.md,98a5d78d7f0dba803950abdc29896efeeb188273f67aca8a5b122754e22ecdf3,155,flow:source-command-bug-rca,discovered,valid,claude_paths; agent_orchestration; arguments; kgai; maude_cli,,flow:bug-fix; flow:bug-rca; flow:debate-protocol; flow:investigator; flow:kgai-backend,
flow,command,done,plugins/flow/commands/done.md,d5399bb3a4e71520172e9154e8f73f32f992a56e14d110c8c9276720698c25dc,297,flow:source-command-done,discovered,valid,claude_paths; agent_orchestration; arguments; kgai; maude_cli,,design:handoff; flow:done; flow:kgai-backend; flow:quality-gates; flow:quick; flow:record-ddr; flow:record-retro; flow:release-changelog; flow:review-code; flow:status; flow:utils-verify; flow:validate; flow:validate-security,../../../.ai/archive/decisions/DDR-066-soft-handoff-prompt-in-flow-done.md
flow,command,execute,plugins/flow/commands/execute.md,9d35716e319abb38f5d134587011048dc4c93e40a5b64f88ed9f075ceb1e110b,225,flow:source-command-execute,discovered,valid,claude_paths; agent_orchestration; question_ui; arguments; kgai; maude_cli,,design:edit; design:new; design:smoke; flow:bug-fix; flow:done; flow:execute; flow:kgai-backend; flow:quality-gates; flow:release-changelog; flow:utils-verify; flow:validate,
flow,command,help,plugins/flow/commands/help.md,924991e3d702ae27ec89de5584b3d155dea0e213297f855b122859ecd362170e,62,flow:source-command-help,discovered,valid,,,flow:bug-; flow:ddr; flow:help; flow:onboard,
flow,command,init,plugins/flow/commands/init.md,581f439b59ba8825b47d0eb9c45c9e5aac245ac4c02a1ae43e851748ce147602,498,flow:source-command-init,discovered,valid,claude_paths; agent_orchestration; kgai; external_expertise; maude_cli,,flow:execute; flow:init; flow:migrate-kgai; flow:plan; flow:release-changelog; flow:skill-loader; flow:status; flow:test-coverage; flow:testing-rules; flow:utils-verify; flow:validate,
flow,command,maintain-ai-health,plugins/flow/commands/maintain-ai-health.md,58a0bd513cda13273aa865919f216dc284badf422693af3abe7cd349b145bd52,125,flow:source-command-maintain-ai-health,discovered,valid,claude_paths; agent_orchestration; kgai; maude_cli,,flow:setup-codebase-map,
flow,command,maintain-clean,plugins/flow/commands/maintain-clean.md,371ecb1cd792b3d76ca3f072041282b3631a67ec278e9972f32a10f7cc24ee55,82,flow:source-command-maintain-clean,discovered,valid,,,,
flow,command,maintain-discover,plugins/flow/commands/maintain-discover.md,c4c61b3aff12b2a1942bd6b42f5f464d87c1dbd32a89e2dcf01ba548ec505595,64,flow:source-command-maintain-discover,discovered,valid,claude_paths,,,
flow,command,maintain-docs,plugins/flow/commands/maintain-docs.md,81318353ded3dafefa7c08a4246f817636504d5075bbb7571a40a5f89fee0bd8,120,flow:source-command-maintain-docs,discovered,valid,external_expertise,,flow:execute; flow:make-skill-template; flow:skill-loader,
flow,command,migrate-kgai,plugins/flow/commands/migrate-kgai.md,8edff0de8df36f92547ec77963126d875c15bb35d03cef7d1856984c80858134,79,flow:source-command-migrate-kgai,discovered,valid,kgai; maude_cli,,flow:kgai-backend; flow:kgai-migrate; flow:migrate-kgai,
flow,command,pause,plugins/flow/commands/pause.md,00d4f11676d29af5fe60d996ab56780b0fb4be4d71a4a50e65872f66d3def0f3,139,flow:source-command-pause,discovered,valid,kgai; maude_cli,,flow:kgai-backend; flow:resume,
